Direction_ID,Travel_ID,Current_Status,Vehicle ID,Latitude,Line_ID,Longitude,Pattern_ID,Route_ID,schedule_relationship,Shift_ID,Speed,Stop_ID,Timestamp,Trip_ID,Datetime,Date,Time,Day,Workday,Color_ID,Operator,Source,District
0,,In Transit,,38.72145080566406,732,-9.146750450134277,,107_0,,,,1212,1753780604,5094_20250601_107_0_4,2025-07-29 09:16:44,2025-07-29,09:16:44,Tuesday,True,Pink Line,CL,CL,Santo António
0,,In Transit,,38.756431579589844,750,-9.146820068359375,,106_0,,,,11306,1753780629,6306_20250601_106_0_6,2025-07-29 09:17:09,2025-07-29,09:17:09,Tuesday,True,Red Line,CL,CL,Campo Grande
0,,In Transit,,38.699771881103516,728,-9.205849647521973,,204_0,,,,9607,1753780621,4636_20250601_204_0_6,2025-07-29 09:17:01,2025-07-29,09:17:01,Tuesday,True,Yellow Line,CL,CL,São Francisco Xavier
0,,In Transit,,38.70642852783203,712,-9.173500061035156,,189_0,,,,9403,1753780602,3552_20250601_189_0_7,2025-07-29 09:16:42,2025-07-29,09:16:42,Tuesday,True,Orange Line,CL,CL,Prazeres
0,,In Transit,,38.70719909667969,25E,-9.141420364379883,,79_0,,,,3820,1753780622,14261_20250601_79_0_8,2025-07-29 09:17:02,2025-07-29,09:17:02,Tuesday,True,Yellow Line,CL,CL,Santa Maria Maior
0,,In Transit,,38.73809814453125,708,-9.133700370788574,,100_0,,,,413,1753780623,3302_20250601_100_0_5,2025-07-29 09:17:03,2025-07-29,09:17:03,Tuesday,True,Red Line,CL,CL,Unknown
1,,In Transit,,38.70438003540039,15E,-9.174779891967773,,76_0,,,,12115,1753780628,11251_20250601_76_0_6,2025-07-29 09:17:08,2025-07-29,09:17:08,Tuesday,True,Yellow Line,CL,CL,Santo Amaro
0,,In Transit,,38.706298828125,728,-9.145730018615723,,204_0,,,,7101,1753780623,4616_20250601_204_0_6,2025-07-29 09:17:03,2025-07-29,09:17:03,Tuesday,True,Yellow Line,CL,CL,São Paulo
0,,In Transit,,38.75782012939453,750,-9.17533016204834,,106_0,,,,12805,1753780608,6288_20250601_106_0_5,2025-07-29 09:16:48,2025-07-29,09:16:48,Tuesday,True,Red Line,CL,CL,Carnide
0,,In Transit,,38.71315002441406,758,-9.143269538879395,,150_0,,,,10503,1753780617,6882_20250601_150_0_5,2025-07-29 09:16:57,2025-07-29,09:16:57,Tuesday,True,Blue Line,CL,CL,Encarnação
1,,In Transit,,38.6987190246582,729,-9.226679801940918,,104_0,,,,14106,1753780621,4784_20250601_104_0_2,2025-07-29 09:17:01,2025-07-29,09:17:01,Tuesday,True,Blue Line,CL,CL,Baixa de Algés
0,,In Transit,,38.73447036743164,52B,-9.153980255126953,,244_0,,,,1403,1753780536,21670_20250601_244_0_5,2025-07-29 09:15:36,2025-07-29,09:15:36,Tuesday,True,Yellow Line,CL,CL,Campo Pequeno
0,,In Transit,,38.71432876586914,28E,-9.169179916381836,,75_0,,,,8018,1753780621,14917_20250601_75_0_6,2025-07-29 09:17:01,2025-07-29,09:17:01,Tuesday,True,Yellow Line,CL,CL,Prazeres
