Line_ID,Color_ID,Operator 
65B,Yellow Line,
32B,Yellow Line,CL
24E,Yellow Line,CL
750,Red Line,CL
767,Blue Line,CL
716,Green Line,CL
727,Yellow Line,CL
742,Red Line,CL
753,Red Line,CL
728,Yellow Line,CL
738,Green Line,CL
15E,Yellow Line,CL
701,Red Line,CL
703,Red Line,CL
756,Red Line,CL
28E,Yellow Line,CL
720,Blue Line,CL
25E,Yellow Line,CL
18E,Yellow Line,CL
717,Green Line,CL
735,Green Line,CL
736,Green Line,CL
747,Green Line,CL
778,Green Line,CL
796,Green Line,CL
798,Green Line,CL
705,Red Line,CL
708,Red Line,CL
718,Red Line,CL
722,Red Line,CL
725,Red Line,CL
731,Red Line,CL
744,Red Line,CL
749,Red Line,CL
755,Red Line,CL
759,Red Line,CL
781,Red Line,CL
782,Red Line,CL
783,Red Line,CL
793,Red Line,CL
794,Red Line,CL
714,Pink Line,CL
723,Pink Line,CL
732,Pink Line,CL
748,Pink Line,CL
751,Pink Line,CL
760,Pink Line,CL
776,Pink Line,CL
711,Blue Line,CL
715,Blue Line,CL
724,Blue Line,CL
726,Blue Line,CL
729,Blue Line,CL
746,Blue Line,CL
754,Blue Line,CL
758,Blue Line,CL
763,Blue Line,CL
764,Blue Line,CL
765,Blue Line,CL
768,Blue Line,CL
770,Blue Line,CL
771,Blue Line,CL
799,Blue Line,CL
702,Orange Line,CL
706,Orange Line,CL
709,Orange Line,CL
712,Orange Line,CL
713,Orange Line,CL
730,Orange Line,CL
734,Orange Line,CL
737,Orange Line,CL
773,Orange Line,CL
774,Orange Line,CL
797,Orange Line,CL
201,Night Shift,CL
202,Night Shift,CL
203,Night Shift,CL
206,Night Shift,CL
207,Night Shift,CL
208,Night Shift,CL
210,Night Shift,CL
10B,Yellow Line,CL
13B,Yellow Line,CL
17B,Yellow Line,CL
19B,Yellow Line,CL
22B,Yellow Line,CL
26B,Yellow Line,CL
29B,Yellow Line,CL
31B,Yellow Line,CL
34B,Yellow Line,CL
37B,Yellow Line,CL
40B,Yellow Line,CL
41B,Yellow Line,CL
45B,Yellow Line,CL
46B,Yellow Line,CL
49B,Yellow Line,CL
52B,Yellow Line,CL
55B,Yellow Line,CL
58B,Yellow Line,CL
61B,Yellow Line,CL
54B,Yellow Line,CL
65B,Yellow Line,CL
67B,Yellow Line,CL
