Direction_ID,Travel_ID,Current_Status,Vehicle ID,Latitude,Line_ID,Longitude,Pattern_ID,Route_ID,schedule_relationship,Shift_ID,Speed,Stop_ID,Timestamp,Trip_ID,Datetime,Date,Time,Day,Workday,Color_ID,Operator,Source,District
0,,In Transit,,38.70719909667969,25E,-9.141420364379883,,79_0,,,,3820,1753780622,14261_20250601_79_0_8,2025-07-29 09:17:02,2025-07-29,09:17:02,Tuesday,True,Yellow Line,CL,CL,Santa Maria Maior
1,,In Transit,,38.70438003540039,15E,-9.174779891967773,,76_0,,,,12115,1753780628,11251_20250601_76_0_6,2025-07-29 09:17:08,2025-07-29,09:17:08,Tuesday,True,Yellow Line,CL,CL,Santo Amaro
0,,In Transit,,38.73447036743164,52B,-9.153980255126953,,244_0,,,,1403,1753780536,21670_20250601_244_0_5,2025-07-29 09:15:36,2025-07-29,09:15:36,Tuesday,True,Yellow Line,CL,CL,Campo Pequeno
0,,In Transit,,38.71432876586914,28E,-9.169179916381836,,75_0,,,,8018,1753780621,14917_20250601_75_0_6,2025-07-29 09:17:01,2025-07-29,09:17:01,Tuesday,True,Yellow Line,CL,CL,Prazeres
1,,In Transit,,38.69717025756836,15E,-9.200980186462402,,76_0,,,,9609,1753780628,11261_20250601_76_0_7,2025-07-29 09:17:08,2025-07-29,09:17:08,Tuesday,True,Yellow Line,CL,CL,Belém
0,,In Transit,,38.69977951049805,15E,-9.184399604797363,,76_0,,,,9504,1753780618,11185_20250601_76_0_5,2025-07-29 09:16:58,2025-07-29,09:16:58,Tuesday,True,Yellow Line,CL,CL,Junqueira
1,,In Transit,,38.77452850341797,45B,-9.150070190429688,,277_0,,,,11501,1753780616,45289_20250601_277_0_7,2025-07-29 09:16:56,2025-07-29,09:16:56,Tuesday,True,Yellow Line,CL,CL,Lumiar
0,,In Transit,,38.761478424072266,29B,-9.108380317687988,,209_0,,,,8441,1753780625,17523_20250601_209_0_7,2025-07-29 09:17:05,2025-07-29,09:17:05,Tuesday,True,Yellow Line,CL,CL,Olivais Sul
1,,In Transit,,38.76293182373047,26B,-9.10653018951416,,208_0,,,,2322,1753780619,17519_20250601_208_0_6,2025-07-29 09:16:59,2025-07-29,09:16:59,Tuesday,True,Yellow Line,CL,CL,Olivais Sul
0,,In Transit,,38.7559814453125,31B,-9.113570213317871,,210_0,,,,8427,1753780611,17537_20250601_210_0_6,2025-07-29 09:16:51,2025-07-29,09:16:51,Tuesday,True,Yellow Line,CL,CL,Unknown
0,,In Transit,,38.7570686340332,32B,-9.112420082092285,,211_0,,,,50346,1753780623,17547_20250601_211_0_8,2025-07-29 09:17:03,2025-07-29,09:17:03,Tuesday,True,Yellow Line,CL,CL,Unknown
0,,In Transit,,38.77510070800781,26B,-9.099980354309082,,208_0,,,,50123,1753780610,17509_20250601_208_0_7,2025-07-29 09:16:50,2025-07-29,09:16:50,Tuesday,True,Yellow Line,CL,CL,Parque das Nações
