trip_trip_id,trip_schedule_relationship,trip_route_id,trip_direction_id,position_latitude,position_longitude,current_stop_sequence,current_status,timestamp,stop_id,vehicle_id,vehicle_license_plate,entity_id
6280_20250401_106_0_7,0,106_0,1,38.75878143,-9.113419533,33,2,1747481063,8409,4645,98-JO-46,4645_750
5510_20250401_117_0_8,0,117_0,0,38.73112869,-9.146380424,19,2,1747481050,1704,2793,AJ-58-LI,2793_738
14909_20250401_75_0_9,0,75_0,1,38.70867157,-9.139630318,5,2,1747481025,10521,557,,557_28E
7324_20250401_111_2_9,0,111_2,0,38.77875137,-9.167679787,30,2,1747481060,50641,2253,80-52-ZE,2253_768
11239_20250401_76_0_10,0,76_0,1,38.69736862,-9.203430176,7,2,1747481069,9609,611,,611_15E
5066_20250401_107_2_7,0,107_2,0,38.70827103,-9.137720108,7,2,1747481043,5508,6022,BF-48-BB,6022_732
18906_20250401_179_0_12,0,179_0,1,38.76121902,-9.166700363,21,2,1747481055,50006,2440,29-AX-08,2440_778
35064_20250401_226_0_5,0,226_0,0,38.73432159,-9.112070084,21,2,1747480596,50411,2992,29-VM-95,2992_34B
3203_20250401_147_0_8,0,147_0,1,38.72309875,-9.148880005,21,2,1747481062,1217,6010,81-ZC-09,6010_706
12183_20250401_78_0_14,0,78_0,1,38.70349884,-9.170519829,18,2,1747481076,3901,558,,558_18E
11229_20250401_76_0_10,0,76_0,1,38.70478058,-9.177330017,14,2,1747481060,12115,603,,603_15E
19403_20240727_190_0_8,0,190_0,1,38.78303146,-9.114009857,3,2,1723286487,12610,2250,80-41-ZE,2250_731
5069_20250401_107_2_4,0,107_2,1,38.71332932,-9.137880325,31,2,1747481068,913,6021,BD-91-QG,6021_732
4997_20250401_190_0_8,0,190_0,1,38.74177933,-9.157230377,28,2,1747481067,3302,2292,83-16-ZM,2292_731
5962_20250401_108_0_13,0,108_0,0,38.74132919,-9.168199539,9,2,1747481049,50472,2795,AJ-55-LI,2795_746
19453_20250401_143_0_6,0,143_0,0,38.73191833,-9.140919685,11,2,1747481060,6501,2494,88-BL-68,2494_720
4673_20250401_204_0_6,0,204_0,1,38.70637894,-9.14291954,34,2,1747481068,3820,2830,BF-57-FZ,2830_728
17511_20250401_208_2_12,0,208_2,1,38.78553009,-9.096170425,15,2,1747481068,50130,2951,62-GQ-53,2951_26B
19269_20250401_212_0_10,0,212_0,1,38.79330063,-9.152919769,25,2,1747481060,11608,2954,62-GQ-56,2954_40B
5821_20250401_200_0_8,0,200_0,1,38.76945114,-9.121749878,11,2,1747481057,7704,2624,72-VP-82,2624_744
6311_20250401_106_0_8,0,106_0,1,38.75482178,-9.153120041,25,2,1747481065,5804,4616,22-GP-50,4616_750
17559_20250401_212_0_11,0,212_0,0,38.79222107,-9.150719643,5,2,1747481055,11616,2953,62-GQ-55,2953_40B
6376_20250401_106_0_8,0,106_0,0,38.7491684,-9.190670013,23,2,1747481055,10806,4646,11-JM-79,4646_750
6258_20250401_106_0_10,0,106_0,0,38.76305008,-9.130020142,9,2,1747481061,7506,4650,11-JM-80,4650_750
7438_20250401_192_1_10,0,192_1,1,38.71517181,-9.163299561,18,2,1747481057,8001,2973,30-VM-13,2973_774
6595_20250401_201_2_12,0,201_2,0,38.74222946,-9.211549759,15,2,1747481057,8818,2688,93-XA-35,2688_754
7477_20250401_193_2_29,0,193_2,1,38.70016861,-9.240369797,5,2,1747481073,14903,2699,92-XQ-25,2699_776
3505_20250401_101_0_6,0,101_0,1,38.72480011,-9.15651989,27,2,1747481065,8502,2692,90-XF-62,2692_711
3449_20250401_101_0_8,0,101_0,1,38.75246811,-9.209300041,6,2,1747481058,3003,2691,90-XF-45,2691_711
3679_20250401_102_0_5,0,102_0,0,38.70645142,-9.15375042,3,2,1747481072,7102,2690,99-XE-57,2690_714
3489_20250401_101_0_9,0,101_0,0,38.70994949,-9.135149956,2,2,1747481057,4506,2693,90-XF-46,2693_711
4510_20250401_103_0_2,0,103_0,1,38.74219894,-9.14659977,41,2,1747481067,1805,2694,90-XF-49,2694_727
5521_20250401_117_0_7,0,117_0,0,38.7533493,-9.168549538,5,2,1747481047,13622,2705,92-XQ-29,2705_738
5526_20250401_117_0_7,0,117_0,0,38.70619965,-9.167770386,30,2,1747481066,10206,2684,99-XE-59,2684_738
5954_20250401_108_0_11,0,108_0,0,38.74892044,-9.19122982,17,2,1747481072,10814,2682,93-XA-42,2682_746
6302_20250401_106_0_7,0,106_0,1,38.75848007,-9.103219986,35,2,1747481064,2328,4619,22-GP-53,4619_750
6350_20250401_106_0_9,0,106_0,1,38.74082184,-9.202619553,9,2,1747481066,8807,4618,22-GP-52,4618_750
4507_20250401_103_0_4,0,103_0,1,38.7473793,-9.140919685,46,2,1747481067,202,2681,93-XA-41,2681_727
